-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 08/01/2018 through 03/24/2019 
Location: Latitude  41.3963   Longitude 2.1748 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 302.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,PS,WS10M,QV2M,PRECTOTCORR,T2M
2018,8,1,0,98.13,1.17,15.44,0.0,24.28
2018,8,1,1,98.12,1.46,15.14,0.0,24.06
2018,8,1,2,98.12,1.7,14.77,0.0,23.9
2018,8,1,3,98.12,1.74,14.4,0.0,23.91
2018,8,1,4,98.13,1.67,14.1,0.0,23.94
2018,8,1,5,98.17,1.52,14.95,0.0,24.69
2018,8,1,6,98.21,1.93,14.22,0.0,27.07
2018,8,1,7,98.25,2.46,13.55,0.0,28.85
2018,8,1,8,98.27,2.69,13.18,0.0,30.33
2018,8,1,9,98.27,2.71,13.43,0.0,31.33
2018,8,1,10,98.26,2.81,13.43,0.0,32.23
2018,8,1,11,98.23,3.0,13.24,0.0,32.95
2018,8,1,12,98.2,3.14,13.12,0.0,33.48
2018,8,1,13,98.17,3.28,13.0,0.0,33.73
2018,8,1,14,98.14,3.49,13.0,0.0,33.64
2018,8,1,15,98.12,3.56,12.94,0.0,33.2
2018,8,1,16,98.11,3.48,12.82,0.0,32.41
2018,8,1,17,98.12,3.61,12.63,0.0,31.18
2018,8,1,18,98.15,2.96,13.61,0.0,28.69
2018,8,1,19,98.2,2.19,14.4,0.0,26.31
2018,8,1,20,98.25,1.67,14.59,0.0,25.35
2018,8,1,21,98.26,1.13,14.47,0.0,25.17
2018,8,1,22,98.27,1.09,14.34,0.0,25.15
2018,8,1,23,98.28,1.57,14.34,0.0,24.84
2018,8,2,0,98.28,1.89,14.22,0.0,24.65
2018,8,2,1,98.28,2.03,13.98,0.0,24.65
2018,8,2,2,98.29,2.03,13.73,0.0,24.81
2018,8,2,3,98.28,1.92,13.43,0.0,24.98
2018,8,2,4,98.29,1.83,13.24,0.0,24.98
2018,8,2,5,98.31,1.57,14.4,0.0,25.76
2018,8,2,6,98.32,1.16,13.31,0.0,28.19
2018,8,2,7,98.33,1.44,13.18,0.0,30.12
2018,8,2,8,98.33,2.07,13.37,0.0,31.51
2018,8,2,9,98.32,2.61,13.49,0.0,32.51
2018,8,2,10,98.31,3.17,13.49,0.0,33.3
2018,8,2,11,98.28,3.69,13.43,0.0,33.9
2018,8,2,12,98.25,4.1,13.37,0.0,34.28
2018,8,2,13,98.22,4.37,13.31,0.0,34.15
2018,8,2,14,98.19,4.6,13.31,0.0,33.55
2018,8,2,15,98.17,4.67,13.37,0.0,32.94
2018,8,2,16,98.15,4.91,13.49,0.0,31.93
2018,8,2,17,98.16,4.94,13.79,0.0,30.32
2018,8,2,18,98.19,4.01,14.4,0.0,28.36
2018,8,2,19,98.24,2.46,15.14,0.0,26.69
2018,8,2,20,98.3,1.4,15.56,0.0,25.94
2018,8,2,21,98.32,0.96,15.69,0.0,25.58
2018,8,2,22,98.33,1.15,15.38,0.0,25.44
2018,8,2,23,98.31,1.5,15.26,0.0,25.2
2018,8,3,0,98.26,1.77,14.89,0.0,24.99
2018,8,3,1,98.21,1.94,14.59,0.0,24.83
2018,8,3,2,98.17,2.03,14.28,0.0,24.7
2018,8,3,3,98.15,2.0,13.92,0.0,24.69
2018,8,3,4,98.16,1.93,13.55,0.0,24.64
2018,8,3,5,98.19,1.74,14.28,0.0,25.43
2018,8,3,6,98.21,1.74,12.88,0.0,27.83
2018,8,3,7,98.21,0.82,12.57,0.0,30.35
2018,8,3,8,98.2,2.03,12.45,0.0,31.97
2018,8,3,9,98.19,2.79,12.76,0.0,32.83
2018,8,3,10,98.18,3.31,13.0,0.0,33.37
2018,8,3,11,98.16,3.71,13.18,0.0,33.69
2018,8,3,12,98.15,3.98,13.24,0.0,33.68
2018,8,3,13,98.16,4.24,13.37,0.0,33.33
2018,8,3,14,98.16,4.51,13.55,0.0,32.47
2018,8,3,15,98.17,4.45,13.73,0.0,31.62
2018,8,3,16,98.18,4.05,13.79,0.0,30.72
2018,8,3,17,98.18,3.38,13.98,0.0,29.69
2018,8,3,18,98.2,2.24,14.28,0.0,28.41
2018,8,3,19,98.24,1.39,14.89,0.0,26.87
2018,8,3,20,98.27,0.99,14.89,0.0,26.31
2018,8,3,21,98.27,1.14,14.71,0.0,26.05
2018,8,3,22,98.27,1.76,14.53,0.0,25.64
2018,8,3,23,98.26,2.21,14.22,0.0,25.26
2018,8,4,0,98.22,2.5,13.85,0.0,24.96
2018,8,4,1,98.2,2.69,13.43,0.0,24.64
2018,8,4,2,98.18,2.85,13.0,0.0,24.35
2018,8,4,3,98.17,3.06,12.63,0.0,24.05
2018,8,4,4,98.16,3.25,12.51,0.0,24.01
2018,8,4,5,98.18,3.3,12.63,0.0,24.72
2018,8,4,6,98.2,3.62,12.7,0.0,26.45
2018,8,4,7,98.22,3.89,12.33,0.0,28.62
2018,8,4,8,98.22,2.24,11.96,0.0,31.98
2018,8,4,9,98.2,1.2,11.35,0.0,33.82
2018,8,4,10,98.17,0.64,10.86,0.0,34.96
2018,8,4,11,98.13,0.77,10.62,0.0,35.79
2018,8,4,12,98.1,1.76,10.86,0.0,35.8
2018,8,4,13,98.08,2.94,11.6,0.0,35.33
2018,8,4,14,98.08,3.93,12.57,0.0,34.36
2018,8,4,15,98.09,4.44,13.24,0.0,33.29
2018,8,4,16,98.11,4.4,13.85,0.0,32.09
2018,8,4,17,98.13,3.85,14.34,0.0,30.83
2018,8,4,18,98.16,2.16,15.44,0.03,29.09
2018,8,4,19,98.2,1.11,15.87,0.03,27.69
2018,8,4,20,98.23,0.95,15.44,0.03,27.52
2018,8,4,21,98.21,1.78,15.44,0.02,26.74
2018,8,4,22,98.2,2.17,15.01,0.01,26.35
2018,8,4,23,98.17,2.33,14.47,0.0,26.05
2018,8,5,0,98.12,2.48,13.92,0.0,25.66
