-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 03/24/2019 
Location: Latitude  41.3919   Longitude 2.1665 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 302.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,HR,T2M,QV2M,PRECTOTCORR,WS10M,PS
2019,1,1,0,8.37,5.0,0.0,2.82,99.24
2019,1,1,1,9.4,4.94,0.0,2.16,99.27
2019,1,1,2,9.88,5.0,0.0,1.62,99.29
2019,1,1,3,9.48,5.13,0.0,1.63,99.26
2019,1,1,4,8.42,5.49,0.0,1.99,99.24
2019,1,1,5,7.28,5.92,0.0,2.33,99.26
2019,1,1,6,6.73,6.41,0.0,2.5,99.3
2019,1,1,7,6.55,6.84,0.0,2.53,99.35
2019,1,1,8,8.95,7.14,0.0,2.3,99.42
2019,1,1,9,11.21,7.32,0.0,3.11,99.45
2019,1,1,10,12.33,7.2,0.0,3.52,99.46
2019,1,1,11,13.19,7.08,0.0,3.49,99.41
2019,1,1,12,13.73,7.02,0.0,3.51,99.34
2019,1,1,13,13.83,7.02,0.0,3.59,99.29
2019,1,1,14,13.42,7.02,0.0,3.62,99.28
2019,1,1,15,11.98,7.14,0.0,2.88,99.27
2019,1,1,16,8.9,6.9,0.0,2.72,99.29
2019,1,1,17,8.03,6.71,0.0,2.54,99.31
2019,1,1,18,7.76,6.47,0.0,2.25,99.32
2019,1,1,19,7.58,6.23,0.0,2.12,99.31
2019,1,1,20,7.26,5.86,0.0,2.18,99.29
2019,1,1,21,6.63,5.43,0.0,2.42,99.25
2019,1,1,22,6.08,4.94,0.0,2.66,99.18
2019,1,1,23,5.73,4.46,0.0,2.87,99.13
2019,1,2,0,5.49,4.15,0.0,3.03,99.09
2019,1,2,1,5.33,3.85,0.0,3.15,99.06
2019,1,2,2,4.82,3.66,0.0,3.32,99.02
2019,1,2,3,4.23,3.6,0.0,3.67,98.95
2019,1,2,4,4.09,3.54,0.0,4.02,98.9
2019,1,2,5,4.04,3.6,0.0,4.17,98.88
2019,1,2,6,4.01,3.72,0.0,4.22,98.89
2019,1,2,7,4.37,3.85,0.0,4.1,98.92
2019,1,2,8,7.52,4.58,0.0,3.14,99.0
2019,1,2,9,10.87,4.46,0.0,2.3,99.09
2019,1,2,10,12.69,4.33,0.0,0.8,99.14
2019,1,2,11,15.17,4.21,0.0,1.26,99.1
2019,1,2,12,15.85,4.39,0.0,1.87,99.03
2019,1,2,13,15.98,4.46,0.0,1.83,98.99
2019,1,2,14,15.58,4.88,0.0,1.49,98.99
2019,1,2,15,13.96,5.55,0.0,1.45,99.0
2019,1,2,16,12.08,4.58,0.0,1.57,99.03
2019,1,2,17,11.0,4.33,0.0,1.6,99.07
2019,1,2,18,9.94,4.21,0.0,1.95,99.12
2019,1,2,19,7.94,4.09,0.0,2.28,99.15
2019,1,2,20,5.88,3.97,0.0,2.51,99.15
2019,1,2,21,4.21,3.78,0.0,2.59,99.14
2019,1,2,22,3.33,3.54,0.0,2.5,99.14
2019,1,2,23,2.51,3.36,0.0,2.46,99.16
2019,1,3,0,1.65,3.3,0.0,2.58,99.2
2019,1,3,1,0.99,3.23,0.0,2.81,99.26
2019,1,3,2,1.08,3.11,0.0,2.61,99.3
2019,1,3,3,1.68,2.99,0.0,2.13,99.31
2019,1,3,4,2.19,2.93,0.0,1.9,99.32
2019,1,3,5,2.32,2.81,0.0,1.87,99.35
2019,1,3,6,2.7,2.69,0.0,1.78,99.38
2019,1,3,7,3.94,2.56,0.0,1.48,99.41
2019,1,3,8,5.81,2.87,0.0,0.8,99.46
2019,1,3,9,7.76,2.69,0.0,0.92,99.48
2019,1,3,10,9.3,3.05,0.0,2.37,99.47
2019,1,3,11,10.56,3.6,0.0,3.23,99.4
2019,1,3,12,11.25,3.97,0.0,3.66,99.34
2019,1,3,13,11.48,4.27,0.0,3.95,99.3
2019,1,3,14,11.18,4.52,0.0,4.19,99.28
2019,1,3,15,9.52,5.07,0.0,3.33,99.26
2019,1,3,16,6.44,4.82,0.0,3.19,99.26
2019,1,3,17,5.69,4.64,0.0,2.8,99.29
2019,1,3,18,5.87,4.52,0.0,2.29,99.31
2019,1,3,19,5.89,4.39,0.0,2.06,99.29
2019,1,3,20,6.29,4.21,0.0,1.61,99.28
2019,1,3,21,5.62,4.09,0.0,1.13,99.29
2019,1,3,22,5.04,4.15,0.0,1.25,99.31
2019,1,3,23,4.55,4.21,0.0,1.58,99.32
2019,1,4,0,4.33,4.09,0.0,1.88,99.34
2019,1,4,1,4.16,3.97,0.0,1.99,99.39
2019,1,4,2,3.67,3.78,0.0,1.75,99.38
2019,1,4,3,2.89,3.66,0.0,1.88,99.34
2019,1,4,4,2.52,3.6,0.0,2.18,99.31
2019,1,4,5,2.63,3.6,0.0,2.24,99.31
2019,1,4,6,2.84,3.66,0.0,2.15,99.35
2019,1,4,7,3.13,3.72,0.0,2.25,99.37
2019,1,4,8,5.82,4.27,0.0,2.23,99.42
2019,1,4,9,8.53,4.39,0.0,3.46,99.45
2019,1,4,10,10.14,4.52,0.0,4.67,99.45
2019,1,4,11,10.92,4.64,0.0,4.8,99.4
2019,1,4,12,11.22,4.76,0.0,4.63,99.38
2019,1,4,13,11.12,4.88,0.0,4.64,99.38
2019,1,4,14,10.55,4.94,0.0,4.52,99.4
2019,1,4,15,9.15,5.19,0.0,3.44,99.42
2019,1,4,16,6.56,4.94,0.0,2.48,99.48
2019,1,4,17,5.88,4.82,0.0,2.16,99.55
2019,1,4,18,5.56,4.7,0.0,1.81,99.62
2019,1,4,19,5.39,4.7,0.0,1.8,99.66
2019,1,4,20,5.28,4.82,0.0,2.12,99.67
2019,1,4,21,5.02,5.0,0.0,2.53,99.66
2019,1,4,22,3.9,5.07,0.0,2.97,99.64
2019,1,4,23,3.3,5.13,0.0,3.39,99.6
2019,1,5,0,2.82,4.88,0.0,3.79,99.56
2019,1,5,1,2.35,4.33,0.0,3.95,99.55
2019,1,5,2,1.9,3.91,0.0,4.08,99.52
2019,1,5,3,1.46,3.54,0.0,4.27,99.46
2019,1,5,4,1.26,3.23,0.0,4.44,99.4
2019,1,5,5,1.43,3.17,0.0,4.56,99.36
2019,1,5,6,1.82,3.17,0.0,4.61,99.33
2019,1,5,7,2.23,3.36,0.0,4.65,99.33
2019,1,5,8,5.41,3.78,0.0,4.69,99.37
2019,1,5,9,8.85,3.85,0.0,4.61,99.38
2019,1,5,10,11.51,3.97,0.0,3.36,99.34
2019,1,5,11,14.05,3.78,0.0,2.64,99.24
2019,1,5,12,15.67,3.66,0.0,2.3,99.16
2019,1,5,13,16.31,3.72,0.0,1.87,99.12
2019,1,5,14,15.97,4.58,0.0,1.13,99.11
2019,1,5,15,13.96,5.62,0.0,1.43,99.1
2019,1,5,16,11.26,4.39,0.0,2.32,99.09
2019,1,5,17,9.26,4.33,0.0,2.9,99.12
2019,1,5,18,7.81,4.33,0.0,3.33,99.14
2019,1,5,19,6.89,4.21,0.0,3.57,99.13
2019,1,5,20,6.24,4.09,0.0,3.72,99.12
2019,1,5,21,5.87,4.03,0.0,3.82,99.1
2019,1,5,22,5.72,4.03,0.0,3.95,99.07
2019,1,5,23,5.69,3.97,0.0,4.14,99.03
2019,1,6,0,5.5,3.97,0.0,4.16,99.0
2019,1,6,1,5.34,3.91,0.0,4.31,99.02
2019,1,6,2,5.32,3.85,0.0,4.64,99.02
2019,1,6,3,5.34,3.78,0.0,4.95,99.0
2019,1,6,4,5.37,3.6,0.0,5.22,98.98
2019,1,6,5,5.19,3.48,0.0,5.34,98.99
2019,1,6,6,5.0,3.42,0.0,5.44,99.0
2019,1,6,7,5.12,3.36,0.0,5.6,99.01
2019,1,6,8,7.55,3.48,0.0,5.89,99.05
2019,1,6,9,10.12,3.66,0.0,5.6,99.07
2019,1,6,10,12.69,4.09,0.0,4.56,99.07
2019,1,6,11,15.18,4.46,0.0,3.63,99.02
2019,1,6,12,16.96,4.33,0.0,3.61,98.96
2019,1,6,13,17.51,4.76,0.0,3.27,98.93
2019,1,6,14,16.62,6.1,0.0,2.33,98.92
2019,1,6,15,13.58,6.29,0.0,2.65,98.91
2019,1,6,16,9.73,5.0,0.0,3.22,98.92
2019,1,6,17,7.83,4.46,0.0,3.47,98.95
2019,1,6,18,6.59,4.09,0.0,3.48,98.96
2019,1,6,19,5.69,3.97,0.0,3.14,98.99
2019,1,6,20,4.97,3.91,0.0,2.65,99.04
2019,1,6,21,4.4,3.78,0.0,2.25,99.07
2019,1,6,22,3.62,3.54,0.0,2.33,99.09
2019,1,6,23,2.68,3.36,0.0,2.71,99.09
2019,1,7,0,1.91,3.17,0.0,3.1,99.11
2019,1,7,1,1.81,3.11,0.0,3.44,99.13
2019,1,7,2,2.2,3.05,0.0,3.45,99.12
2019,1,7,3,2.58,3.05,0.0,3.24,99.08
2019,1,7,4,2.91,3.05,0.0,2.97,99.06
2019,1,7,5,3.2,2.99,0.0,2.74,99.07
2019,1,7,6,3.33,2.99,0.0,2.62,99.08
2019,1,7,7,3.75,2.99,0.0,2.58,99.12
2019,1,7,8,6.48,3.54,0.0,2.03,99.18
2019,1,7,9,9.28,3.54,0.0,2.02,99.25
2019,1,7,10,11.14,3.66,0.0,0.99,99.27
2019,1,7,11,12.55,3.85,0.0,0.99,99.21
2019,1,7,12,13.36,3.85,0.0,0.95,99.14
2019,1,7,13,13.82,3.85,0.0,1.02,99.1
2019,1,7,14,13.68,4.15,0.0,1.2,99.08
2019,1,7,15,11.64,5.37,0.0,1.67,99.09
2019,1,7,16,8.76,4.64,0.0,2.14,99.14
2019,1,7,17,7.37,4.58,0.0,2.28,99.22
2019,1,7,18,6.4,4.76,0.0,2.54,99.31
2019,1,7,19,5.74,4.94,0.0,2.85,99.38
2019,1,7,20,5.26,5.07,0.0,2.95,99.41
2019,1,7,21,4.97,5.13,0.0,2.88,99.43
2019,1,7,22,5.04,5.0,0.0,2.68,99.41
2019,1,7,23,5.42,4.82,0.0,2.42,99.38
2019,1,8,0,5.37,4.52,0.0,2.23,99.35
2019,1,8,1,5.66,4.09,0.0,2.05,99.32
2019,1,8,2,4.83,3.66,0.0,1.98,99.27
2019,1,8,3,3.99,3.36,0.0,2.29,99.21
2019,1,8,4,3.23,3.11,0.0,2.64,99.15
2019,1,8,5,2.65,2.99,0.0,2.96,99.13
2019,1,8,6,2.07,3.05,0.0,3.27,99.11
2019,1,8,7,2.15,3.23,0.0,3.51,99.1
2019,1,8,8,5.33,3.85,0.0,3.25,99.12
2019,1,8,9,8.27,3.78,0.0,3.72,99.13
2019,1,8,10,10.57,4.03,0.0,2.59,99.12
2019,1,8,11,13.15,3.85,0.0,1.73,99.03
2019,1,8,12,14.44,3.72,0.0,0.64,98.92
2019,1,8,13,14.94,3.72,0.0,0.82,98.84
2019,1,8,14,14.49,4.27,0.0,1.67,98.79
2019,1,8,15,12.02,5.62,0.0,2.04,98.74
2019,1,8,16,9.08,5.07,0.0,2.84,98.71
2019,1,8,17,8.05,5.07,0.0,3.15,98.68
2019,1,8,18,7.67,5.13,0.0,3.24,98.67
2019,1,8,19,7.11,5.07,0.0,3.23,98.67
2019,1,8,20,6.48,4.94,0.0,3.24,98.66
2019,1,8,21,6.11,4.82,0.0,3.16,98.62
2019,1,8,22,5.73,4.76,0.0,3.18,98.58
2019,1,8,23,5.07,4.7,0.0,3.54,98.54
2019,1,9,0,4.01,4.58,0.0,3.94,98.49
2019,1,9,1,3.54,4.52,0.0,4.29,98.45
2019,1,9,2,3.39,4.52,0.0,4.59,98.41
2019,1,9,3,3.33,4.46,0.0,4.87,98.34
2019,1,9,4,3.33,4.33,0.0,5.01,98.29
2019,1,9,5,3.23,4.21,0.0,4.88,98.27
2019,1,9,6,3.01,4.03,0.0,4.7,98.27
2019,1,9,7,3.19,3.97,0.0,4.62,98.28
2019,1,9,8,6.14,4.39,0.0,4.15,98.28
2019,1,9,9,8.87,3.97,0.0,4.49,98.27
2019,1,9,10,10.72,3.6,0.0,4.37,98.21
2019,1,9,11,12.15,3.42,0.0,4.24,98.13
2019,1,9,12,13.1,3.36,0.0,4.23,98.03
